,Counts,instcount,condcount,varassign,varstore,uniqload,uniqstore,globalvar,localvar,sameloadtot,samestoretot,sameloadvar,samestorevar,avgsameload,avgsamestore,functioncalls,avgFuncParam,recursiveCall,pointerAlloc,varUsed,varAssign,arrayVars,arrayStore,arrayLoad,maxArraySize,minArraySize,floatTy,intTy,floatTyArith,intTyArith,intTyLog,basicBlocks,nullComp,loopCount,avgLoopDepth,avgLoopExits,loopHighInstCnt,avgBBLoops,condTrueLoops,eqCmp,tryBlock,catchBlock,avgPred,avgSucc,sideEnt
60,2.0,247,15,65,36,38,32,4,61,27,4,16,4,0.710526,0.125,14,2.57143,0,33,0.633333,0.533333,24,2,8,8,8,0,108,0,16,16,27,0,2,0,0,0,0,2,252865,0,0,1.7037,0,20
61,1.0,260,16,67,38,40,30,4,63,27,8,16,8,0.675,0.266667,15,2.6,0,33,0.666667,0.5,25,0,11,8,8,0,122,0,20,18,27,0,2,0,0,0,0,2,252946,0,0,1.77778,0,22
62,2.0,253,17,67,36,38,32,4,63,29,4,17,4,0.763158,0.125,14,2.57143,0,33,0.633333,0.533333,24,2,8,8,8,0,112,0,16,18,29,0,2,0,0,0,0,2,260427,0,0,1.7241400000000002,0,22
63,1.0,265,21,71,36,38,32,4,67,33,4,19,4,0.8684209999999999,0.125,14,2.57143,0,33,0.633333,0.533333,24,2,8,8,8,0,120,0,16,22,33,0,2,0,0,0,0,2,260689,0,0,1.69697,0,24
64,2.0,244,14,64,36,37,32,4,60,27,4,16,4,0.72973,0.125,14,2.57143,0,33,0.616667,0.533333,24,2,8,8,8,0,106,0,16,15,26,0,2,0,0,0,0,2,262656,0,0,1.65385,0,18
65,1.0,257,15,66,38,39,30,4,62,27,8,16,8,0.692308,0.266667,15,2.6,0,33,0.65,0.5,25,0,11,8,8,0,120,0,20,17,26,0,2,0,0,0,0,2,262727,0,0,1.7307700000000001,0,20
66,2.0,250,16,66,36,38,32,4,62,28,4,17,4,0.736842,0.125,14,2.57143,0,33,0.633333,0.533333,24,2,8,8,8,0,110,0,16,17,28,0,2,0,0,0,0,2,297434,0,0,1.6785700000000001,0,20
67,1.0,256,18,68,36,38,32,4,64,30,4,18,4,0.789474,0.125,14,2.57143,0,33,0.633333,0.533333,24,2,8,8,8,0,114,0,16,19,30,0,2,0,0,0,0,2,305572,0,0,1.7,0,22
68,1.0,268,22,72,36,38,32,4,68,34,4,19,4,0.8947370000000001,0.125,14,2.57143,0,33,0.633333,0.533333,24,2,8,8,8,0,122,0,16,23,34,0,2,0,0,0,0,2,305858,0,0,1.6764700000000001,0,24
69,3.0,241,13,63,36,36,32,4,59,27,4,16,4,0.75,0.125,14,2.57143,0,33,0.6,0.533333,24,2,8,8,8,0,104,0,16,14,25,0,2,0,0,0,0,2,307922,0,0,1.68,0,18
70,1.0,275,14,75,39,41,32,4,71,34,7,17,7,0.829268,0.21875,15,2.6,0,33,0.683333,0.533333,31,2,12,8,8,0,126,0,18,15,26,0,2,0,0,0,0,2,307961,0,0,1.6923099999999998,0,19
71,1.0,254,14,65,38,38,30,4,61,27,8,16,8,0.710526,0.266667,15,2.6,0,33,0.633333,0.5,25,0,11,8,8,0,118,0,20,16,25,0,2,0,0,0,0,2,307983,0,0,1.76,0,20
72,2.0,247,15,65,36,38,32,4,61,27,4,16,4,0.710526,0.125,14,2.57143,0,33,0.633333,0.533333,24,2,8,8,8,0,108,0,16,16,27,0,2,0,0,0,0,2,340396,0,0,1.7037,0,20
73,2.0,253,17,67,36,38,32,4,63,29,4,17,4,0.763158,0.125,14,2.57143,0,33,0.633333,0.533333,24,2,8,8,8,0,112,0,16,18,29,0,2,0,0,0,0,2,347958,0,0,1.7241400000000002,0,22
74,1.0,265,21,71,36,38,32,4,67,33,4,19,4,0.8684209999999999,0.125,14,2.57143,0,33,0.633333,0.533333,24,2,8,8,8,0,120,0,16,22,33,0,2,0,0,0,0,2,348220,0,0,1.69697,0,24
75,3.0,244,14,64,36,37,32,4,60,27,4,16,4,0.72973,0.125,14,2.57143,0,33,0.616667,0.533333,24,2,8,8,8,0,106,0,16,15,26,0,2,0,0,0,0,2,350187,0,0,1.65385,0,18
76,1.0,278,15,76,39,42,32,4,72,34,7,17,7,0.809524,0.21875,15,2.6,0,33,0.7,0.533333,31,2,12,8,8,0,128,0,18,16,27,0,2,0,0,0,0,2,350232,0,0,1.66667,0,19
77,1.0,257,15,66,38,39,30,4,62,27,8,16,8,0.692308,0.266667,15,2.6,0,33,0.65,0.5,25,0,11,8,8,0,120,0,20,17,26,0,2,0,0,0,0,2,350258,0,0,1.7307700000000001,0,20
78,2.0,250,16,66,36,38,32,4,62,28,4,17,4,0.736842,0.125,14,2.57143,0,33,0.633333,0.533333,24,2,8,8,8,0,110,0,16,17,28,0,2,0,0,0,0,2,384965,0,0,1.6785700000000001,0,20
79,2.0,256,18,68,36,38,32,4,64,30,4,18,4,0.789474,0.125,14,2.57143,0,33,0.633333,0.533333,24,2,8,8,8,0,114,0,16,19,30,0,2,0,0,0,0,2,393103,0,0,1.7,0,22
80,1.0,268,22,72,36,38,32,4,68,34,4,19,4,0.8947370000000001,0.125,14,2.57143,0,33,0.633333,0.533333,24,2,8,8,8,0,122,0,16,23,34,0,2,0,0,0,0,2,393389,0,0,1.6764700000000001,0,24
81,3.0,241,13,63,36,36,32,4,59,27,4,16,4,0.75,0.125,14,2.57143,0,33,0.6,0.533333,24,2,8,8,8,0,104,0,16,14,25,0,2,0,0,0,0,2,395453,0,0,1.68,0,18
82,1.0,275,14,75,39,41,32,4,71,34,7,17,7,0.829268,0.21875,15,2.6,0,33,0.683333,0.533333,31,2,12,8,8,0,126,0,18,15,26,0,2,0,0,0,0,2,395492,0,0,1.6923099999999998,0,19
83,1.0,265,15,69,38,39,30,4,65,30,8,17,8,0.769231,0.266667,15,2.6,0,33,0.65,0.5,27,0,12,8,8,0,124,0,20,17,27,0,2,0,0,0,0,2,395504,0,0,1.7037,0,20
84,1.0,254,14,65,38,38,30,4,61,27,8,16,8,0.710526,0.266667,15,2.6,0,33,0.633333,0.5,25,0,11,8,8,0,118,0,20,16,25,0,2,0,0,0,0,2,395514,0,0,1.76,0,20
85,2.0,247,15,65,36,38,32,4,61,27,4,16,4,0.710526,0.125,14,2.57143,0,33,0.633333,0.533333,24,2,8,8,8,0,108,0,16,16,27,0,2,0,0,0,0,2,427927,0,0,1.7037,0,20
86,1.0,260,16,67,38,40,30,4,63,27,8,16,8,0.675,0.266667,15,2.6,0,33,0.666667,0.5,25,0,11,8,8,0,122,0,20,18,27,0,2,0,0,0,0,2,428008,0,0,1.77778,0,22
87,2.0,253,17,67,36,38,32,4,63,29,4,17,4,0.763158,0.125,14,2.57143,0,33,0.633333,0.533333,24,2,8,8,8,0,112,0,16,18,29,0,2,0,0,0,0,2,435489,0,0,1.7241400000000002,0,22
88,1.0,265,21,71,36,38,32,4,67,33,4,19,4,0.8684209999999999,0.125,14,2.57143,0,33,0.633333,0.533333,24,2,8,8,8,0,120,0,16,22,33,0,2,0,0,0,0,2,435751,0,0,1.69697,0,24
89,2.0,244,14,64,36,37,32,4,60,27,4,16,4,0.72973,0.125,14,2.57143,0,33,0.616667,0.533333,24,2,8,8,8,0,106,0,16,15,26,0,2,0,0,0,0,2,437718,0,0,1.65385,0,18
90,1.0,257,15,66,38,39,30,4,62,27,8,16,8,0.692308,0.266667,15,2.6,0,33,0.65,0.5,25,0,11,8,8,0,120,0,20,17,26,0,2,0,0,0,0,2,437789,0,0,1.7307700000000001,0,20
