,Counts,instcount,condcount,varassign,varstore,uniqload,uniqstore,globalvar,localvar,sameloadtot,samestoretot,sameloadvar,samestorevar,avgsameload,avgsamestore,functioncalls,avgFuncParam,recursiveCall,pointerAlloc,varUsed,varAssign,maxCallDepth,minCallDepth,avgCallDepth,arrayVars,arrayStore,arrayLoad,maxArraySize,minArraySize,floatTy,intTy,floatTyArith,intTyArith,intTyLog,basicBlocks,nullComp,loopCount,avgLoopDepth,avgLoopExits,loopHighInstCnt,avgBBLoops,condTrueLoops,eqCmp,tryBlock,catchBlock,avgPred,avgSucc,sideEnt
77,0,443,3,175,19,64,15,0,175,111,4,7,4,1.73438,0.266667,0,0.0,0,15,0.9696969999999999,0.227273,0,0,0.0,51,0,49,-1,10000000000,121,169,57,53,5,13,0,1,1.0,1,0,434.0,0,188,0,0,1.46154,0,7
78,0,449,3,177,21,64,15,0,177,113,6,7,6,1.76562,0.4,0,0.0,0,15,0.9696969999999999,0.227273,0,0,0.0,51,0,49,-1,10000000000,123,169,57,53,5,15,0,1,1.0,1,0,434.0,0,190,0,0,1.4,0,7
79,0,446,3,176,20,64,15,0,176,112,5,7,5,1.75,0.333333,0,0.0,0,15,0.9696969999999999,0.227273,0,0,0.0,51,0,49,-1,10000000000,122,169,57,53,5,14,0,1,1.0,1,0,434.0,0,192,0,0,1.4285700000000001,0,7
80,0,446,3,176,20,64,15,0,176,112,5,7,5,1.75,0.333333,0,0.0,0,15,0.9696969999999999,0.227273,0,0,0.0,51,0,49,-1,10000000000,122,169,57,53,5,14,0,1,1.0,1,0,434.0,0,194,0,0,1.4285700000000001,0,7
81,0,443,3,175,19,64,15,0,175,111,4,7,4,1.73438,0.266667,0,0.0,0,15,0.9696969999999999,0.227273,0,0,0.0,51,0,49,-1,10000000000,121,169,57,53,5,13,0,1,1.0,1,0,434.0,0,196,0,0,1.46154,0,7
82,0,197,2,70,15,27,11,0,70,43,4,3,4,1.59259,0.363636,0,0.0,0,15,0.409091,0.166667,0,0,0.0,20,0,19,-1,10000000000,45,71,21,22,3,9,0,1,1.0,1,0,434.0,0,197,0,0,1.33333,0,4
83,0,449,3,177,21,64,15,0,177,113,6,7,6,1.76562,0.4,0,0.0,0,15,0.9696969999999999,0.227273,0,0,0.0,51,0,49,-1,10000000000,123,169,57,53,5,15,0,1,1.0,1,0,434.0,0,199,0,0,1.4,0,7
84,0,446,3,176,20,64,15,0,176,112,5,7,5,1.75,0.333333,0,0.0,0,15,0.9696969999999999,0.227273,0,0,0.0,51,0,49,-1,10000000000,122,169,57,53,5,14,0,1,1.0,1,0,434.0,0,201,0,0,1.4285700000000001,0,7
85,0,446,3,176,20,64,15,0,176,112,5,7,5,1.75,0.333333,0,0.0,0,15,0.9696969999999999,0.227273,0,0,0.0,51,0,49,-1,10000000000,122,169,57,53,5,14,0,1,1.0,1,0,434.0,0,203,0,0,1.4285700000000001,0,7
86,0,443,3,175,19,64,15,0,175,111,4,7,4,1.73438,0.266667,0,0.0,0,15,0.9696969999999999,0.227273,0,0,0.0,51,0,49,-1,10000000000,121,169,57,53,5,13,0,1,1.0,1,0,434.0,0,205,0,0,1.46154,0,7
87,0,449,3,177,21,64,15,0,177,113,6,7,6,1.76562,0.4,0,0.0,0,15,0.9696969999999999,0.227273,0,0,0.0,51,0,49,-1,10000000000,123,169,57,53,5,15,0,1,1.0,1,0,434.0,0,207,0,0,1.4,0,7
88,0,446,3,176,20,64,15,0,176,112,5,7,5,1.75,0.333333,0,0.0,0,15,0.9696969999999999,0.227273,0,0,0.0,51,0,49,-1,10000000000,122,169,57,53,5,14,0,1,1.0,1,0,434.0,0,209,0,0,1.4285700000000001,0,7
89,0,446,3,176,20,64,15,0,176,112,5,7,5,1.75,0.333333,0,0.0,0,15,0.9696969999999999,0.227273,0,0,0.0,51,0,49,-1,10000000000,122,169,57,53,5,14,0,1,1.0,1,0,434.0,0,211,0,0,1.4285700000000001,0,7
90,0,443,3,175,19,64,15,0,175,111,4,7,4,1.73438,0.266667,0,0.0,0,15,0.9696969999999999,0.227273,0,0,0.0,51,0,49,-1,10000000000,121,169,57,53,5,13,0,1,1.0,1,0,434.0,0,213,0,0,1.46154,0,7
91,0,194,2,69,14,27,11,0,69,42,3,3,3,1.55556,0.272727,0,0.0,0,15,0.409091,0.166667,0,0,0.0,20,0,19,-1,10000000000,44,71,21,22,3,8,0,1,1.0,1,0,434.0,0,214,0,0,1.375,0,4
92,0,446,3,176,20,64,15,0,176,112,5,7,5,1.75,0.333333,0,0.0,0,15,0.9696969999999999,0.227273,0,0,0.0,51,0,49,-1,10000000000,122,169,57,53,5,14,0,1,1.0,1,0,434.0,0,216,0,0,1.4285700000000001,0,7
93,0,443,3,175,19,64,15,0,175,111,4,7,4,1.73438,0.266667,0,0.0,0,15,0.9696969999999999,0.227273,0,0,0.0,51,0,49,-1,10000000000,121,169,57,53,5,13,0,1,1.0,1,0,434.0,0,218,0,0,1.46154,0,7
94,0,443,3,175,19,64,15,0,175,111,4,7,4,1.73438,0.266667,0,0.0,0,15,0.9696969999999999,0.227273,0,0,0.0,51,0,49,-1,10000000000,121,169,57,53,5,13,0,1,1.0,1,0,434.0,0,220,0,0,1.46154,0,7
95,0,440,3,174,18,64,15,0,174,110,3,7,3,1.71875,0.2,0,0.0,0,15,0.9696969999999999,0.227273,0,0,0.0,51,0,49,-1,10000000000,120,169,57,53,5,12,0,1,1.0,1,0,434.0,0,222,0,0,1.5,0,7
96,0,446,3,176,20,64,15,0,176,112,5,7,5,1.75,0.333333,0,0.0,0,15,0.9696969999999999,0.227273,0,0,0.0,51,0,49,-1,10000000000,122,169,57,53,5,14,0,1,1.0,1,0,434.0,0,224,0,0,1.4285700000000001,0,7
97,0,443,3,175,19,64,15,0,175,111,4,7,4,1.73438,0.266667,0,0.0,0,15,0.9696969999999999,0.227273,0,0,0.0,51,0,49,-1,10000000000,121,169,57,53,5,13,0,1,1.0,1,0,434.0,0,226,0,0,1.46154,0,7
98,0,443,3,175,19,64,15,0,175,111,4,7,4,1.73438,0.266667,0,0.0,0,15,0.9696969999999999,0.227273,0,0,0.0,51,0,49,-1,10000000000,121,169,57,53,5,13,0,1,1.0,1,0,434.0,0,228,0,0,1.46154,0,7
